support,itemsets
0.9924924924924925,frozenset({'Botox Treatment Experiences & Procedures'})
0.8933933933933934,frozenset({'Symptom Experience & Severity'})
0.8858858858858859,"frozenset({'Botox Treatment Experiences & Procedures', 'Symptom Experience & Severity'})"
0.5645645645645646,frozenset({'Deterioration indicators (worsening symptoms)'})
0.5630630630630631,"frozenset({'Botox Treatment Experiences & Procedures', 'Deterioration indicators (worsening symptoms)'})"
0.5435435435435435,"frozenset({'Deterioration indicators (worsening symptoms)', 'Symptom Experience & Severity'})"
0.5420420420420421,"frozenset({'Botox Treatment Experiences & Procedures', 'Deterioration indicators (worsening symptoms)', 'Symptom Experience & Severity'})"
0.5105105105105106,"frozenset({'Botox Treatment Experiences & Procedures', 'Alternative Surgical Treatments/Diagnostics'})"
0.5105105105105106,frozenset({'Alternative Surgical Treatments/Diagnostics'})
0.49099099099099097,"frozenset({'Symptom Experience & Severity', 'Alternative Surgical Treatments/Diagnostics'})"
0.49099099099099097,"frozenset({'Botox Treatment Experiences & Procedures', 'Symptom Experience & Severity', 'Alternative Surgical Treatments/Diagnostics'})"
0.36486486486486486,frozenset({'Self-Treatment & Behavioral Interventions'})
0.3633633633633634,"frozenset({'Botox Treatment Experiences & Procedures', 'Self-Treatment & Behavioral Interventions'})"
0.36036036036036034,"frozenset({'Improvement indicators (success, relief, reduced symptoms)'})"
0.36036036036036034,"frozenset({'Botox Treatment Experiences & Procedures', 'Improvement indicators (success, relief, reduced symptoms)'})"
0.35585585585585583,"frozenset({'Deterioration indicators (worsening symptoms)', 'Alternative Surgical Treatments/Diagnostics'})"
0.35585585585585583,"frozenset({'Botox Treatment Experiences & Procedures', 'Deterioration indicators (worsening symptoms)', 'Alternative Surgical Treatments/Diagnostics'})"
0.35285285285285284,"frozenset({'Botox Treatment Experiences & Procedures', 'Improvement indicators (success, relief, reduced symptoms)', 'Symptom Experience & Severity'})"
0.35285285285285284,"frozenset({'Deterioration indicators (worsening symptoms)', 'Symptom Experience & Severity', 'Alternative Surgical Treatments/Diagnostics'})"
0.35285285285285284,"frozenset({'Botox Treatment Experiences & Procedures', 'Deterioration indicators (worsening symptoms)', 'Symptom Experience & Severity', 'Alternative Surgical Treatments/Diagnostics'})"
0.35285285285285284,"frozenset({'Improvement indicators (success, relief, reduced symptoms)', 'Symptom Experience & Severity'})"
0.3483483483483483,"frozenset({'Symptom Experience & Severity', 'Self-Treatment & Behavioral Interventions'})"
0.34684684684684686,"frozenset({'Botox Treatment Experiences & Procedures', 'Symptom Experience & Severity', 'Self-Treatment & Behavioral Interventions'})"
0.26876876876876876,"frozenset({'Improvement indicators (success, relief, reduced symptoms)', 'Deterioration indicators (worsening symptoms)'})"
0.26876876876876876,"frozenset({'Botox Treatment Experiences & Procedures', 'Improvement indicators (success, relief, reduced symptoms)', 'Deterioration indicators (worsening symptoms)'})"
0.26576576576576577,"frozenset({'Botox Treatment Experiences & Procedures', 'Improvement indicators (success, relief, reduced symptoms)', 'Deterioration indicators (worsening symptoms)', 'Symptom Experience & Severity'})"
0.26576576576576577,"frozenset({'Improvement indicators (success, relief, reduced symptoms)', 'Deterioration indicators (worsening symptoms)', 'Symptom Experience & Severity'})"
0.2627627627627628,"frozenset({'Botox Treatment Experiences & Procedures', 'Deterioration indicators (worsening symptoms)', 'Self-Treatment & Behavioral Interventions'})"
0.2627627627627628,"frozenset({'Symptom Experience & Severity', 'Deterioration indicators (worsening symptoms)', 'Self-Treatment & Behavioral Interventions'})"
0.2627627627627628,"frozenset({'Botox Treatment Experiences & Procedures', 'Symptom Experience & Severity', 'Deterioration indicators (worsening symptoms)', 'Self-Treatment & Behavioral Interventions'})"
0.2627627627627628,"frozenset({'Deterioration indicators (worsening symptoms)', 'Self-Treatment & Behavioral Interventions'})"
0.2552552552552553,"frozenset({'Self-Treatment & Behavioral Interventions', 'Alternative Surgical Treatments/Diagnostics'})"
0.2552552552552553,"frozenset({'Botox Treatment Experiences & Procedures', 'Self-Treatment & Behavioral Interventions', 'Alternative Surgical Treatments/Diagnostics'})"
0.24774774774774774,"frozenset({'Botox Treatment Experiences & Procedures', 'Symptom Experience & Severity', 'Self-Treatment & Behavioral Interventions', 'Alternative Surgical Treatments/Diagnostics'})"
0.24774774774774774,"frozenset({'Symptom Experience & Severity', 'Self-Treatment & Behavioral Interventions', 'Alternative Surgical Treatments/Diagnostics'})"
0.24474474474474475,"frozenset({'Improvement indicators (success, relief, reduced symptoms)', 'Alternative Surgical Treatments/Diagnostics'})"
0.24474474474474475,"frozenset({'Botox Treatment Experiences & Procedures', 'Improvement indicators (success, relief, reduced symptoms)', 'Symptom Experience & Severity', 'Alternative Surgical Treatments/Diagnostics'})"
0.24474474474474475,"frozenset({'Improvement indicators (success, relief, reduced symptoms)', 'Symptom Experience & Severity', 'Alternative Surgical Treatments/Diagnostics'})"
0.24474474474474475,"frozenset({'Botox Treatment Experiences & Procedures', 'Improvement indicators (success, relief, reduced symptoms)', 'Alternative Surgical Treatments/Diagnostics'})"
0.23723723723723725,frozenset({'Psychological Factors & Mental Health'})
0.23723723723723725,"frozenset({'Botox Treatment Experiences & Procedures', 'Psychological Factors & Mental Health'})"
0.23573573573573572,"frozenset({'Botox Treatment Experiences & Procedures', 'Psychological Factors & Mental Health', 'Symptom Experience & Severity'})"
0.23573573573573572,"frozenset({'Psychological Factors & Mental Health', 'Symptom Experience & Severity'})"
0.2012012012012012,"frozenset({'Botox Treatment Experiences & Procedures', 'Deterioration indicators (worsening symptoms)', 'Self-Treatment & Behavioral Interventions', 'Alternative Surgical Treatments/Diagnostics'})"
0.2012012012012012,"frozenset({'Deterioration indicators (worsening symptoms)', 'Symptom Experience & Severity', 'Alternative Surgical Treatments/Diagnostics', 'Botox Treatment Experiences & Procedures', 'Self-Treatment & Behavioral Interventions'})"
0.2012012012012012,"frozenset({'Symptom Experience & Severity', 'Deterioration indicators (worsening symptoms)', 'Self-Treatment & Behavioral Interventions', 'Alternative Surgical Treatments/Diagnostics'})"
0.2012012012012012,"frozenset({'Deterioration indicators (worsening symptoms)', 'Self-Treatment & Behavioral Interventions', 'Alternative Surgical Treatments/Diagnostics'})"
0.19369369369369369,"frozenset({'Improvement indicators (success, relief, reduced symptoms)', 'Deterioration indicators (worsening symptoms)', 'Symptom Experience & Severity', 'Alternative Surgical Treatments/Diagnostics'})"
0.19369369369369369,"frozenset({'Improvement indicators (success, relief, reduced symptoms)', 'Deterioration indicators (worsening symptoms)', 'Alternative Surgical Treatments/Diagnostics'})"
0.19369369369369369,"frozenset({'Improvement indicators (success, relief, reduced symptoms)', 'Deterioration indicators (worsening symptoms)', 'Symptom Experience & Severity', 'Alternative Surgical Treatments/Diagnostics', 'Botox Treatment Experiences & Procedures'})"
0.19369369369369369,"frozenset({'Botox Treatment Experiences & Procedures', 'Improvement indicators (success, relief, reduced symptoms)', 'Deterioration indicators (worsening symptoms)', 'Alternative Surgical Treatments/Diagnostics'})"
0.1906906906906907,"frozenset({'Botox Treatment Experiences & Procedures', 'Deterioration indicators (worsening symptoms)', 'Psychological Factors & Mental Health'})"
0.1906906906906907,"frozenset({'Psychological Factors & Mental Health', 'Deterioration indicators (worsening symptoms)'})"
0.1891891891891892,"frozenset({'Botox Treatment Experiences & Procedures', 'Deterioration indicators (worsening symptoms)', 'Symptom Experience & Severity', 'Psychological Factors & Mental Health'})"
0.1891891891891892,"frozenset({'Psychological Factors & Mental Health', 'Deterioration indicators (worsening symptoms)', 'Symptom Experience & Severity'})"
0.18468468468468469,"frozenset({'Botox Treatment Experiences & Procedures', 'Improvement indicators (success, relief, reduced symptoms)', 'Self-Treatment & Behavioral Interventions'})"
0.18468468468468469,"frozenset({'Improvement indicators (success, relief, reduced symptoms)', 'Symptom Experience & Severity', 'Self-Treatment & Behavioral Interventions'})"
0.18468468468468469,"frozenset({'Improvement indicators (success, relief, reduced symptoms)', 'Self-Treatment & Behavioral Interventions'})"
0.18468468468468469,"frozenset({'Botox Treatment Experiences & Procedures', 'Symptom Experience & Severity', 'Improvement indicators (success, relief, reduced symptoms)', 'Self-Treatment & Behavioral Interventions'})"
0.17417417417417416,"frozenset({'Psychological Factors & Mental Health', 'Symptom Experience & Severity', 'Alternative Surgical Treatments/Diagnostics'})"
0.17417417417417416,"frozenset({'Botox Treatment Experiences & Procedures', 'Psychological Factors & Mental Health', 'Symptom Experience & Severity', 'Alternative Surgical Treatments/Diagnostics'})"
0.17417417417417416,"frozenset({'Psychological Factors & Mental Health', 'Alternative Surgical Treatments/Diagnostics'})"
0.17417417417417416,"frozenset({'Botox Treatment Experiences & Procedures', 'Psychological Factors & Mental Health', 'Alternative Surgical Treatments/Diagnostics'})"
0.15315315315315314,"frozenset({'Botox Treatment Experiences & Procedures', 'Deterioration indicators (worsening symptoms)', 'Psychological Factors & Mental Health', 'Alternative Surgical Treatments/Diagnostics'})"
0.15315315315315314,"frozenset({'Botox Treatment Experiences & Procedures', 'Improvement indicators (success, relief, reduced symptoms)', 'Self-Treatment & Behavioral Interventions', 'Alternative Surgical Treatments/Diagnostics'})"
0.15315315315315314,"frozenset({'Psychological Factors & Mental Health', 'Deterioration indicators (worsening symptoms)', 'Symptom Experience & Severity', 'Alternative Surgical Treatments/Diagnostics', 'Botox Treatment Experiences & Procedures'})"
0.15315315315315314,"frozenset({'Improvement indicators (success, relief, reduced symptoms)', 'Self-Treatment & Behavioral Interventions', 'Alternative Surgical Treatments/Diagnostics'})"
0.15315315315315314,"frozenset({'Psychological Factors & Mental Health', 'Deterioration indicators (worsening symptoms)', 'Symptom Experience & Severity', 'Alternative Surgical Treatments/Diagnostics'})"
0.15315315315315314,"frozenset({'Improvement indicators (success, relief, reduced symptoms)', 'Symptom Experience & Severity', 'Alternative Surgical Treatments/Diagnostics', 'Botox Treatment Experiences & Procedures', 'Self-Treatment & Behavioral Interventions'})"
0.15315315315315314,"frozenset({'Improvement indicators (success, relief, reduced symptoms)', 'Symptom Experience & Severity', 'Self-Treatment & Behavioral Interventions', 'Alternative Surgical Treatments/Diagnostics'})"
0.15315315315315314,"frozenset({'Psychological Factors & Mental Health', 'Deterioration indicators (worsening symptoms)', 'Alternative Surgical Treatments/Diagnostics'})"
0.15165165165165165,"frozenset({'Improvement indicators (success, relief, reduced symptoms)', 'Deterioration indicators (worsening symptoms)', 'Self-Treatment & Behavioral Interventions'})"
0.15165165165165165,"frozenset({'Improvement indicators (success, relief, reduced symptoms)', 'Symptom Experience & Severity', 'Deterioration indicators (worsening symptoms)', 'Self-Treatment & Behavioral Interventions'})"
0.15165165165165165,"frozenset({'Botox Treatment Experiences & Procedures', 'Improvement indicators (success, relief, reduced symptoms)', 'Deterioration indicators (worsening symptoms)', 'Self-Treatment & Behavioral Interventions'})"
0.15165165165165165,"frozenset({'Improvement indicators (success, relief, reduced symptoms)', 'Deterioration indicators (worsening symptoms)', 'Symptom Experience & Severity', 'Botox Treatment Experiences & Procedures', 'Self-Treatment & Behavioral Interventions'})"
0.14414414414414414,"frozenset({'Botox Treatment Experiences & Procedures', 'Psychological Factors & Mental Health', 'Self-Treatment & Behavioral Interventions'})"
0.14414414414414414,"frozenset({'Psychological Factors & Mental Health', 'Symptom Experience & Severity', 'Self-Treatment & Behavioral Interventions'})"
0.14414414414414414,"frozenset({'Botox Treatment Experiences & Procedures', 'Symptom Experience & Severity', 'Psychological Factors & Mental Health', 'Self-Treatment & Behavioral Interventions'})"
0.14414414414414414,"frozenset({'Psychological Factors & Mental Health', 'Self-Treatment & Behavioral Interventions'})"
0.12912912912912913,"frozenset({'Improvement indicators (success, relief, reduced symptoms)', 'Deterioration indicators (worsening symptoms)', 'Alternative Surgical Treatments/Diagnostics', 'Botox Treatment Experiences & Procedures', 'Self-Treatment & Behavioral Interventions'})"
0.12912912912912913,"frozenset({'Improvement indicators (success, relief, reduced symptoms)', 'Deterioration indicators (worsening symptoms)', 'Symptom Experience & Severity', 'Alternative Surgical Treatments/Diagnostics', 'Botox Treatment Experiences & Procedures', 'Self-Treatment & Behavioral Interventions'})"
0.12912912912912913,"frozenset({'Deterioration indicators (worsening symptoms)', 'Symptom Experience & Severity', 'Alternative Surgical Treatments/Diagnostics', 'Improvement indicators (success, relief, reduced symptoms)', 'Self-Treatment & Behavioral Interventions'})"
0.12912912912912913,"frozenset({'Improvement indicators (success, relief, reduced symptoms)', 'Deterioration indicators (worsening symptoms)', 'Self-Treatment & Behavioral Interventions', 'Alternative Surgical Treatments/Diagnostics'})"
0.12462462462462462,"frozenset({'Psychological Factors & Mental Health', 'Deterioration indicators (worsening symptoms)', 'Symptom Experience & Severity', 'Botox Treatment Experiences & Procedures', 'Self-Treatment & Behavioral Interventions'})"
0.12462462462462462,"frozenset({'Botox Treatment Experiences & Procedures', 'Deterioration indicators (worsening symptoms)', 'Self-Treatment & Behavioral Interventions', 'Psychological Factors & Mental Health'})"
0.12462462462462462,"frozenset({'Psychological Factors & Mental Health', 'Symptom Experience & Severity', 'Deterioration indicators (worsening symptoms)', 'Self-Treatment & Behavioral Interventions'})"
