antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Alternative Surgical Treatments/Diagnostics,Botox Treatment Experiences & Procedures,0.6772793053545586,0.9956584659913169,0.6772793053545586,1.0,1.0043604651162792,1.0,0.002940431137574029,inf,0.013452914798206133,0.6802325581395349,1.0,0.8401162790697674
"Deterioration indicators (worsening symptoms), Self-Treatment & Behavioral Interventions",Symptom Experience & Severity,0.41678726483357453,0.9435600578871202,0.41678726483357453,1.0,1.0598159509202454,1.0,0.023523449100592453,inf,0.09677419354838697,0.441717791411043,1.0,0.7208588957055215
"Comorbidities, Symptom Experience & Severity",Botox Treatment Experiences & Procedures,0.1678726483357453,0.9956584659913169,0.1678726483357453,1.0,1.0043604651162792,1.0,0.0007288248118773322,inf,0.005217391304347833,0.16860465116279072,1.0,0.5843023255813954
Comorbidities,"Botox Treatment Experiences & Procedures, Symptom Experience & Severity",0.1678726483357453,0.9392185238784371,0.1678726483357453,1.0,1.0647149460708782,1.0,0.010203547366282623,inf,0.07304347826086946,0.17873651771956858,1.0,0.5893682588597843
"Deterioration indicators (worsening symptoms), Improvement indicators (success, relief, reduced symptoms)",Botox Treatment Experiences & Procedures,0.47756874095513746,0.9956584659913169,0.47756874095513746,1.0,1.0043604651162792,1.0,0.002073380930340707,inf,0.008310249307479317,0.4796511627906977,1.0,0.7398255813953488
"Psychological Factors & Mental Health, Symptom Experience & Severity",Botox Treatment Experiences & Procedures,0.34876989869753977,0.9956584659913169,0.34876989869753977,1.0,1.0043604651162792,1.0,0.001514196376400323,inf,0.006666666666666692,0.3502906976744186,1.0,0.6751453488372092
Comorbidities,Symptom Experience & Severity,0.1678726483357453,0.9435600578871202,0.1678726483357453,1.0,1.0598159509202454,1.0,0.00947472255440529,inf,0.06782608695652163,0.17791411042944785,1.0,0.588957055214724
"Deterioration indicators (worsening symptoms), Psychological Factors & Mental Health",Botox Treatment Experiences & Procedures,0.3053545586107091,0.9956584659913169,0.3053545586107091,1.0,1.0043604651162792,1.0,0.001325707200914794,inf,0.006249999999999969,0.3066860465116279,1.0,0.653343023255814
"Comorbidities, Deterioration indicators (worsening symptoms)",Symptom Experience & Severity,0.15195369030390737,0.9435600578871202,0.15195369030390737,1.0,1.0598159509202454,1.0,0.00857625748459101,inf,0.06655290102389079,0.16104294478527606,1.0,0.5805214723926381
"Self-Treatment & Behavioral Interventions, Symptom Experience & Severity",Botox Treatment Experiences & Procedures,0.5036179450072359,0.9956584659913169,0.5036179450072359,1.0,1.0043604651162792,1.0,0.0021864744356320243,inf,0.008746355685131317,0.5058139534883721,1.0,0.752906976744186
"Deterioration indicators (worsening symptoms), Self-Treatment & Behavioral Interventions",Botox Treatment Experiences & Procedures,0.41678726483357453,0.9956584659913169,0.41678726483357453,1.0,1.0043604651162792,1.0,0.0018094960846609665,inf,0.00744416873449134,0.4186046511627907,1.0,0.7093023255813954
"Alternative Surgical Treatments/Diagnostics, Psychological Factors & Mental Health",Botox Treatment Experiences & Procedures,0.3068017366136035,0.9956584659913169,0.3068017366136035,1.0,1.0043604651162792,1.0,0.001331990173430997,inf,0.006263048016701519,0.308139534883721,1.0,0.6540697674418605
Psychological Factors & Mental Health,"Botox Treatment Experiences & Procedures, Symptom Experience & Severity",0.34876989869753977,0.9392185238784371,0.34876989869753977,1.0,1.0647149460708782,1.0,0.02119874926960441,inf,0.0933333333333332,0.3713405238828968,1.0,0.6856702619414483
"Alternative Surgical Treatments/Diagnostics, Comorbidities",Symptom Experience & Severity,0.15918958031837915,0.9435600578871202,0.15918958031837915,1.0,1.0598159509202454,1.0,0.008984650698142943,inf,0.0671256454388983,0.1687116564417178,1.0,0.5843558282208589
"Improvement indicators (success, relief, reduced symptoms), Psychological Factors & Mental Health",Botox Treatment Experiences & Procedures,0.2691751085383502,0.9956584659913169,0.2691751085383502,1.0,1.0043604651162792,1.0,0.0011686328880102237,inf,0.005940594059406044,0.27034883720930236,1.0,0.6351744186046512
"Comorbidities, Self-Treatment & Behavioral Interventions",Symptom Experience & Severity,0.12590448625180897,0.9435600578871202,0.12590448625180897,1.0,1.0598159509202454,1.0,0.007106041915803968,inf,0.06456953642384095,0.13343558282208587,1.0,0.566717791411043
"Improvement indicators (success, relief, reduced symptoms), Self-Treatment & Behavioral Interventions",Botox Treatment Experiences & Procedures,0.3791606367583213,0.9956584659913169,0.3791606367583213,1.0,1.0043604651162792,1.0,0.0016461387992401932,inf,0.006993006993007053,0.38081395348837216,1.0,0.690406976744186
Psychological Factors & Mental Health,Symptom Experience & Severity,0.34876989869753977,0.9435600578871202,0.34876989869753977,1.0,1.0598159509202454,1.0,0.019684552893204088,inf,0.0866666666666665,0.3696319018404908,1.0,0.6848159509202454
"Comorbidities, Psychological Factors & Mental Health",Symptom Experience & Severity,0.10130246020260492,0.9435600578871202,0.10130246020260492,1.0,1.0598159509202454,1.0,0.00571750498972734,inf,0.06280193236714976,0.10736196319018404,1.0,0.553680981595092
"Comorbidities, Improvement indicators (success, relief, reduced symptoms)",Symptom Experience & Severity,0.1389290882778582,0.9435600578871202,0.1389290882778582,1.0,1.0598159509202454,1.0,0.007841149700197475,inf,0.0655462184873948,0.147239263803681,1.0,0.5736196319018405
"Alternative Surgical Treatments/Diagnostics, Comorbidities",Botox Treatment Experiences & Procedures,0.15918958031837915,0.9956584659913169,0.15918958031837915,1.0,1.0043604651162792,1.0,0.0006911269767802264,inf,0.005163511187607561,0.15988372093023256,1.0,0.5799418604651163
"Botox Treatment Experiences & Procedures, Psychological Factors & Mental Health",Symptom Experience & Severity,0.34876989869753977,0.9435600578871202,0.34876989869753977,1.0,1.0598159509202454,1.0,0.019684552893204088,inf,0.0866666666666665,0.3696319018404908,1.0,0.6848159509202454
"Improvement indicators (success, relief, reduced symptoms), Symptom Experience & Severity",Botox Treatment Experiences & Procedures,0.5832127351664255,0.9956584659913169,0.5832127351664255,1.0,1.0043604651162792,1.0,0.0025320379240221236,inf,0.010416666666666732,0.5857558139534884,1.0,0.7928779069767442
"Alternative Surgical Treatments/Diagnostics, Deterioration indicators (worsening symptoms)",Botox Treatment Experiences & Procedures,0.5340086830680174,0.9956584659913169,0.5340086830680174,1.0,1.0043604651162792,1.0,0.0023184168584718945,inf,0.009316770186335562,0.5363372093023256,1.0,0.7681686046511629
"Deterioration indicators (worsening symptoms), Psychological Factors & Mental Health",Symptom Experience & Severity,0.3053545586107091,0.9435600578871202,0.3053545586107091,1.0,1.0598159509202454,1.0,0.01723419361189238,inf,0.08124999999999986,0.32361963190184045,1.0,0.6618098159509203
"Alternative Surgical Treatments/Diagnostics, Self-Treatment & Behavioral Interventions",Botox Treatment Experiences & Procedures,0.426917510853835,0.9956584659913169,0.426917510853835,1.0,1.0043604651162792,1.0,0.001853476892274275,inf,0.007575757575757689,0.4287790697674418,1.0,0.7143895348837209
Comorbidities,Botox Treatment Experiences & Procedures,0.1678726483357453,0.9956584659913169,0.1678726483357453,1.0,1.0043604651162792,1.0,0.0007288248118773322,inf,0.005217391304347833,0.16860465116279072,1.0,0.5843023255813954
"Psychological Factors & Mental Health, Self-Treatment & Behavioral Interventions",Symptom Experience & Severity,0.25615050651230103,0.9435600578871202,0.25615050651230103,1.0,1.0598159509202454,1.0,0.014457119759739123,inf,0.07587548638132292,0.2714723926380368,1.0,0.6357361963190185
"Alternative Surgical Treatments/Diagnostics, Psychological Factors & Mental Health",Symptom Experience & Severity,0.3068017366136035,0.9435600578871202,0.3068017366136035,1.0,1.0598159509202454,1.0,0.017315872254602793,inf,0.08141962421711896,0.32515337423312884,1.0,0.6625766871165644
"Alternative Surgical Treatments/Diagnostics, Symptom Experience & Severity",Botox Treatment Experiences & Procedures,0.6685962373371924,0.9956584659913169,0.6685962373371924,1.0,1.0043604651162792,1.0,0.002902733302476923,inf,0.013100436681222552,0.6715116279069767,1.0,0.8357558139534884
"Psychological Factors & Mental Health, Self-Treatment & Behavioral Interventions",Botox Treatment Experiences & Procedures,0.25615050651230103,0.9956584659913169,0.25615050651230103,1.0,1.0043604651162792,1.0,0.001112086135364565,inf,0.005836575875486468,0.2572674418604652,1.0,0.6286337209302326
"Improvement indicators (success, relief, reduced symptoms), Self-Treatment & Behavioral Interventions",Symptom Experience & Severity,0.3791606367583213,0.9435600578871202,0.3791606367583213,1.0,1.0598159509202454,1.0,0.02139980439012229,inf,0.09090909090909075,0.401840490797546,1.0,0.7009202453987731
"Comorbidities, Deterioration indicators (worsening symptoms)",Botox Treatment Experiences & Procedures,0.15195369030390737,0.9956584659913169,0.15195369030390737,1.0,1.0043604651162792,1.0,0.0006597121141993234,inf,0.005119453924914792,0.1526162790697674,1.0,0.5763081395348837
"Alternative Surgical Treatments/Diagnostics, Improvement indicators (success, relief, reduced symptoms)",Symptom Experience & Severity,0.4645441389290883,0.9435600578871202,0.4645441389290883,1.0,1.0598159509202454,1.0,0.02621884431003535,inf,0.1054054054054053,0.49233128834355827,1.0,0.7461656441717791
"Comorbidities, Improvement indicators (success, relief, reduced symptoms)",Botox Treatment Experiences & Procedures,0.1389290882778582,0.9956584659913169,0.1389290882778582,1.0,1.0043604651162792,1.0,0.0006031653615536647,inf,0.005042016806722783,0.13953488372093026,1.0,0.5697674418604651
