antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Alternative Surgical Treatments/Diagnostics,Botox Treatment Experiences & Procedures,0.641399416909621,0.9956268221574344,0.641399416909621,1.0,1.0043923865300146,1.0,0.002804953718263725,inf,0.012195121951219844,0.6442166910688141,1.0,0.822108345534407
"Alternative Surgical Treatments/Diagnostics, Improvement indicators (success, relief, reduced symptoms)",Symptom Experience & Severity,0.4096209912536443,0.9373177842565598,0.4096209912536443,1.0,1.0668740279937792,1.0,0.025675951346802783,inf,0.10617283950617287,0.43701399688958015,1.0,0.71850699844479
"Comorbidities, Improvement indicators (success, relief, reduced symptoms)",Symptom Experience & Severity,0.12536443148688048,0.9373177842565598,0.12536443148688048,1.0,1.0668740279937792,1.0,0.00785812034101438,inf,0.07166666666666671,0.13374805598755835,1.0,0.5668740279937792
"Alternative Surgical Treatments/Diagnostics, Self-Treatment & Behavioral Interventions",Botox Treatment Experiences & Procedures,0.3979591836734694,0.9956268221574344,0.3979591836734694,1.0,1.0043923865300146,1.0,0.0017403462842863204,inf,0.007263922518159853,0.3997071742313324,1.0,0.6998535871156661
"Deterioration indicators (worsening symptoms), Self-Treatment & Behavioral Interventions",Botox Treatment Experiences & Procedures,0.3892128279883382,0.9956268221574344,0.3892128279883382,1.0,1.0043923865300146,1.0,0.001702096915400908,inf,0.007159904534606257,0.3909224011713031,1.0,0.6954612005856515
Comorbidities,Symptom Experience & Severity,0.15014577259475217,0.9373177842565598,0.15014577259475217,1.0,1.0668740279937792,1.0,0.00941146971074977,inf,0.07375643224699828,0.16018662519440122,1.0,0.5800933125972006
"Comorbidities, Self-Treatment & Behavioral Interventions",Symptom Experience & Severity,0.11224489795918367,0.9373177842565598,0.11224489795918367,1.0,1.0668740279937792,1.0,0.007035758909977985,inf,0.07060755336617405,0.11975116640746503,1.0,0.5598755832037325
"Alternative Surgical Treatments/Diagnostics, Psychological Factors & Mental Health",Symptom Experience & Severity,0.27988338192419826,0.9373177842565598,0.27988338192419826,1.0,1.0668740279937792,1.0,0.01754371052877629,inf,0.08704453441295554,0.2986003110419907,1.0,0.6493001555209954
"Deterioration indicators (worsening symptoms), Self-Treatment & Behavioral Interventions",Symptom Experience & Severity,0.3892128279883382,0.9373177842565598,0.3892128279883382,1.0,1.0668740279937792,1.0,0.024396722454079534,inf,0.10262529832935573,0.4152410575427683,1.0,0.7076205287713841
"Deterioration indicators (worsening symptoms), Psychological Factors & Mental Health",Botox Treatment Experiences & Procedures,0.27696793002915454,0.9956268221574344,0.27696793002915454,1.0,1.0043923865300146,1.0,0.001211230014704745,inf,0.006048387096774131,0.2781844802342607,1.0,0.6390922401171303
"Alternative Surgical Treatments/Diagnostics, Psychological Factors & Mental Health",Botox Treatment Experiences & Procedures,0.27988338192419826,0.9956268221574344,0.27988338192419826,1.0,1.0043923865300146,1.0,0.0012239798043332528,inf,0.006072874493927246,0.28111273792093705,1.0,0.6405563689604685
"Comorbidities, Deterioration indicators (worsening symptoms)",Symptom Experience & Severity,0.13702623906705538,0.9373177842565598,0.13702623906705538,1.0,1.0668740279937792,1.0,0.008589108279713376,inf,0.07263513513513506,0.1461897356143079,1.0,0.5730948678071539
"Deterioration indicators (worsening symptoms), Improvement indicators (success, relief, reduced symptoms)",Botox Treatment Experiences & Procedures,0.4358600583090379,0.9956268221574344,0.4358600583090379,1.0,1.0043923865300146,1.0,0.0019060935494564224,inf,0.007751937984496078,0.43777452415812595,1.0,0.718887262079063
"Improvement indicators (success, relief, reduced symptoms), Psychological Factors & Mental Health",Symptom Experience & Severity,0.24052478134110788,0.9373177842565598,0.24052478134110788,1.0,1.0668740279937792,1.0,0.015076626235667107,inf,0.0825335892514395,0.25660964230171074,1.0,0.6283048211508554
