antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Alternative Surgical Treatments/Diagnostics,Botox Treatment Experiences & Procedures,0.5105105105105106,0.9924924924924925,0.5105105105105106,1.0,1.0075642965204237,1.0,0.0038326614903191336,inf,0.015337423312883378,0.5143721633888049,1.0,0.7571860816944025
"Improvement indicators (success, relief, reduced symptoms), Symptom Experience & Severity",Botox Treatment Experiences & Procedures,0.35285285285285284,0.9924924924924925,0.35285285285285284,1.0,1.0075642965204237,1.0,0.002649045441838249,inf,0.011600928074246003,0.35552193645990926,1.0,0.6777609682299546
"Deterioration indicators (worsening symptoms), Improvement indicators (success, relief, reduced symptoms)",Botox Treatment Experiences & Procedures,0.26876876876876876,0.9924924924924925,0.26876876876876876,1.0,1.0075642965204237,1.0,0.0020177835493150886,inf,0.01026694045174542,0.2708018154311649,1.0,0.6354009077155824
"Psychological Factors & Mental Health, Self-Treatment & Behavioral Interventions",Botox Treatment Experiences & Procedures,0.14414414414414414,0.9924924924924925,0.14414414414414414,1.0,1.0075642965204237,1.0,0.001082163244325418,inf,0.008771929824561497,0.1452344931921331,1.0,0.5726172465960666
"Alternative Surgical Treatments/Diagnostics, Symptom Experience & Severity",Botox Treatment Experiences & Procedures,0.49099099099099097,0.9924924924924925,0.49099099099099097,1.0,1.0075642965204237,1.0,0.0036861185509834415,inf,0.01474926253687326,0.49470499243570343,1.0,0.7473524962178517
"Alternative Surgical Treatments/Diagnostics, Self-Treatment & Behavioral Interventions",Botox Treatment Experiences & Procedures,0.2552552552552553,0.9924924924924925,0.2552552552552553,1.0,1.0075642965204237,1.0,0.0019163307451595668,inf,0.010080645161290284,0.2571860816944025,1.0,0.6285930408472012
"Deterioration indicators (worsening symptoms), Psychological Factors & Mental Health",Botox Treatment Experiences & Procedures,0.1906906906906907,0.9924924924924925,0.1906906906906907,1.0,1.0075642965204237,1.0,0.0014316117919721538,inf,0.00927643784786643,0.19213313161875947,1.0,0.5960665658093798
"Comorbidities, Deterioration indicators (worsening symptoms)",Symptom Experience & Severity,0.08108108108108109,0.8933933933933934,0.08108108108108109,1.0,1.119327731092437,1.0,0.008643778914049188,inf,0.1160130718954249,0.09075630252100841,1.0,0.5453781512605042
"Improvement indicators (success, relief, reduced symptoms), Self-Treatment & Behavioral Interventions",Symptom Experience & Severity,0.18468468468468469,0.8933933933933934,0.18468468468468469,1.0,1.119327731092437,1.0,0.019688607526445356,inf,0.1307550644567219,0.20672268907563024,1.0,0.6033613445378151
"Psychological Factors & Mental Health, Self-Treatment & Behavioral Interventions",Symptom Experience & Severity,0.14414414414414414,0.8933933933933934,0.14414414414414414,1.0,1.119327731092437,1.0,0.015366718069420776,inf,0.12456140350877196,0.16134453781512603,1.0,0.580672268907563
"Alternative Surgical Treatments/Diagnostics, Psychological Factors & Mental Health",Botox Treatment Experiences & Procedures,0.17417417417417416,0.9924924924924925,0.17417417417417416,1.0,1.0075642965204237,1.0,0.0013076139202265191,inf,0.009090909090908997,0.1754916792738275,1.0,0.5877458396369137
"Deterioration indicators (worsening symptoms), Self-Treatment & Behavioral Interventions",Botox Treatment Experiences & Procedures,0.2627627627627628,0.9924924924924925,0.2627627627627628,1.0,1.0075642965204237,1.0,0.001972693414134863,inf,0.010183299389002073,0.26475037821482605,1.0,0.632375189107413
"Alternative Surgical Treatments/Diagnostics, Improvement indicators (success, relief, reduced symptoms)",Botox Treatment Experiences & Procedures,0.24474474474474475,0.9924924924924925,0.24474474474474475,1.0,1.0075642965204237,1.0,0.0018374230085941856,inf,0.009940357852882734,0.24659606656580935,1.0,0.6232980332829047
Comorbidities,Symptom Experience & Severity,0.09309309309309309,0.8933933933933934,0.09309309309309309,1.0,1.119327731092437,1.0,0.009924338753167575,inf,0.1175496688741721,0.1042016806722689,1.0,0.5521008403361345
"Alternative Surgical Treatments/Diagnostics, Deterioration indicators (worsening symptoms)",Botox Treatment Experiences & Procedures,0.35585585585585583,0.9924924924924925,0.35585585585585583,1.0,1.0075642965204237,1.0,0.0026715905094283343,inf,0.011655011655011597,0.3585476550680786,1.0,0.6792738275340393
"Improvement indicators (success, relief, reduced symptoms), Psychological Factors & Mental Health",Botox Treatment Experiences & Procedures,0.12312312312312312,0.9924924924924925,0.12312312312312312,1.0,1.0075642965204237,1.0,0.0009243477711946141,inf,0.008561643835616401,0.12405446293494705,1.0,0.5620272314674736
